Entity,Code,Year,Annual CO₂ emissions from other industry,Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal,Annual CO₂ emissions from other industry,Annual CO₂ emissions from flaring,Annual CO₂ emissions from cement,Annual CO₂ emissions from gas,Annual CO₂ emissions from oil,Annual CO₂ emissions from coal
World,OWID_WRL,1783,0,,,,,17062752,0,,,,,17062752
World,OWID_WRL,1784,0,,,,,17471092,0,,,,,17471092
World,OWID_WRL,1785,0,,,,,17965128,0,,,,,17965128
World,OWID_WRL,1786,0,,,,,18447496,0,,,,,18447496
World,OWID_WRL,1787,0,,,,,18859130,0,,,,,18859130
World,OWID_WRL,1788,0,,,,,19286228,0,,,,,19286228
World,OWID_WRL,1789,0,,,,,19863424,0,,,,,19863424
World,OWID_WRL,1790,0,,,,,20398094,0,,,,,20398094
World,OWID_WRL,1791,0,,,,,20931750,0,,,,,20931750
World,OWID_WRL,1792,0,,,,,21929214,0,,,,,21929214
World,OWID_WRL,1793,0,,,,,22297260,0,,,,,22297260
World,OWID_WRL,1794,0,,,,,22519656,0,,,,,22519656
World,OWID_WRL,1795,0,,,,,22315246,0,,,,,22315246
World,OWID_WRL,1796,0,,,,,22121374,0,,,,,22121374
World,OWID_WRL,1797,0,,,,,22090078,0,,,,,22090078
World,OWID_WRL,1798,0,,,,,23105928,0,,,,,23105928
World,OWID_WRL,1799,0,,,,,27485206,0,,,,,27485206
World,OWID_WRL,1800,0,,,,,32798352,0,,,,,32798352
World,OWID_WRL,1801,0,,,,,31986050,0,,,,,31986050
World,OWID_WRL,1802,0,,,,,40310476,0,,,,,40310476
World,OWID_WRL,1803,0,,,,,29538506,0,,,,,29538506
World,OWID_WRL,1804,0,,,,,31769176,0,,,,,31769176
World,OWID_WRL,1805,0,,,,,31251818,0,,,,,31251818
World,OWID_WRL,1806,0,,,,,32704620,0,,,,,32704620
World,OWID_WRL,1807,0,,,,,36200652,0,,,,,36200652
World,OWID_WRL,1808,0,,,,,35497788,0,,,,,35497788
World,OWID_WRL,1809,0,,,,,36333812,0,,,,,36333812
World,OWID_WRL,1810,0,,,,,39492310,0,,,,,39492310
World,OWID_WRL,1811,0,,,,,40176680,0,,,,,40176680
World,OWID_WRL,1812,0,,,,,40814520,0,,,,,40814520
